"","Reaction","LowerBound","UpperBound"
"137","GLCtex",0.0005734319,0.2300000018
"138","GLUDy",-2.6960564211,3.3497763078
"139","GLUR",-0.1046291984,0
"140","GLUt2rpp",-1000,0.8301770604
"141","GLUtex",-0.2178542628,0
"142","GLYALDtex",-0.23,0
"143","GLYALDtpp",-0.23,0
"144","GLYAT",-0.7209691656,8.6010809793
"145","GLYC3Ptex",-0.0194,0
"146","GLYCAt2rpp",-0.2019869994,0
"147","GLYCAtex",-0.2019869994,0
"148","GLYCLTt2rpp",-1000,-4.54747350886464e-13
"149","GLYCLTtex",-0.3949682089,0
"150","GLYCtex",-0.23,0
"151","GLYCtpp",-0.6728168678,0.23
"152","GLYt2rpp",-1000,0
"153","GLYtex",-0.6231473239,0
"154","GTHRDtex",-0.0957027744,0
"155","GUAtex",-0.2344522774,0
"156","GUAtpp",-14.78173534,0
"157","H2Otex",-502.552261387,0.8511938975
"158","H2Otpp",-4.7420668871,0.8511938975
"159","H2Stex",-0.46072644,0
"160","HACD1",-0.2026449734,0.1725
"161","HACD2",-0.2026449734,0.1725
"162","HACD3",-0.2026449734,0.0581124586
"163","HACD4",-0.4179111706,0.0581124586
"164","HACD5",-0.6471832225,0.0581124586
"165","HACD6",-0.6471832241,0.0186612936
"166","HACD7",-0.6471832241,0.0093306468
"167","HACD8",-0.6471832225,0.0010174713
"168","HEXt2rpp",-3.3798854236,9.3277756581396e-13
"169","HISt2rpp",-3.3497762878,0
"170","HIStex",-0.0608574333,0
"171","HOMtex",-0.311135597,0
"172","HPYRI",-1000,0
"173","HSDy",-0.7209691656,0
"174","HXAtex",-0.1725,0
"175","HYXNtex",-0.2480437138,0
"176","HYXNtpp",-0.2480437138,0
"177","Htex",-2.3724316481,1000
"178","ICHORS",-1000,0.0714869876
"179","IDOND",-8.6004969693,0.23
"180","IDONt2rpp",-0.23,0
"181","IDONtex",-0.23,0
"182","ILETA",-0.1759568424,0
"183","ILEt2rpp",-3.3497762878,0
"184","ILEtex",-0.1759568424,0
"185","IMPC",-0.3435844683,2.66529252028256e-18
"186","INDOLEt2rpp",-0.0357434938,1000
"187","INDOLEtex",-0.0357434938,0
"188","INSt2rpp",-1000,0
"189","INStex",-0.0608574333,0
"190","IPDDI",-0.0001188298,1.98154335989547e-05
"191","IPPMIa",-0.1778805494,0
"192","IPPMIb",-0.1778805494,0
"193","KARA1",-0.23,4.6031834009503e-17
"194","L_DASH_LACt2rpp",-0.3916574062,0
"195","L_DASH_LACtex",-0.3916574062,0
"196","LDH_D",-2.2550375793,0.722114733
"197","LEUt2rpp",-3.4310882143,1.68701858038745e-16
"198","LEUtex",-0.1778805494,1.68701858038745e-16
"199","LYStex",-0.1865749277,0
"200","MALtex",-0.4298536805,0
"201","MDH",-2.2550375793,4.5329134402882e-15
"202","MG2t3_2pp",-7.39086767,0.0001744657
"203","MLTP1",-3.3497762878,0
"204","MLTP2",-3.3497762878,0
"205","MLTP3",-3.3497762878,0
"206","MOX",-2.5126866684,1.1272267897
"207","MTHFC",-0.3308748294,0.918535811
"208","MTHFD",-0.3308748294,0.918535811
"209","NDPK1",-1000,6.7698419741
"210","NDPK3",-1.1165920959,3.3497763078
"211","NDPK5",-0.0608574333,3.3497763078
"212","NDPK7",-0.0608574333,3.3497763078
"213","NDPK8",-0.0608574333,3.3497763078
"214","ORNtex",-0.0957027744,0
"215","ORPT",-0.4182179432,0
"216","PGAMT",-0.2142294986,0
"217","PGI",-0.1081622459,0.2260424457
"218","PGK",-0.4579513402,2.89171554764465e-17
"219","PGM",-0.4581898116,1.9991311055394e-19
"220","PGMT",-3.3497762878,0
"221","PHETA1",-0.0714869876,0
"222","PHEt2rpp",-0.0714869876,0
"223","PHEtex",-0.0714869876,0
