Reaction,minimum,maximum
ACALD,-0.0833941715,0.0526121561
ACALDtex,8.21671772320204E-10,0
ACALDtpp,8.21671772320204E-10,0
ACANTHAT,0,0
ACBIPGT,0,0
ACCOAC,0,0.00000002
ACCOAL,-4.45829487413741E-10,1000
ACGAL1PPpp,0,0
ACGAL1Ptex,0,0
ACGALtex,0,0
ACGAM1PPpp,2.56984740422804E-10,0
ACGAM1Ptex,2.56984740422804E-10,0
ACGAMK,1.09084668460721E-10,1.90941625631367E-09
ACGAMT,0,8.02051602000535E-11
ACGAptspp,0,0
ACGAtex,0,0
ACGK,0,6.66104019974201E-09
ACGS,0,6.66104019974201E-09
ACHBS,0,2.61217262734983E-10
ACKr,-0.018734025,5.64669913624033E-16
ACLS,0,3.33102434524335E-10
ACM6PH,1.88738675901789E-10,1.90315434278345E-09
ACMAMUT,0,8.02560484645304E-11
ACMANAptspp,0,0
ACMANAtex,0,0
ACMUMptspp,1.88738675901789E-10,0
ACMUMtex,1.88738675901789E-10,0
ACNAMt2pp,0,0
ACNAMtex,0,0
ACNML,0,0
ACOAD1f,2.70300084710077E-10,4.27602887966275E-10
ACOAD2f,2.70300084710077E-10,4.27602887966275E-10
ACOAD3f,1.2027347449197E-10,4.27602887966275E-10
ACOAD4f,1.2027347449197E-10,0.000000001
ACOAD5f,1.2027347449197E-10,1.70141193359871E-09
ACOAD6f,1.04455661874717E-10,2.10456346576736E-09
ACOAD7f,-3.26707871863967E-15,1.77716996325176E-09
ACOAD8f,0,1.70108051702311E-09
ACOATA,-1.75743187903134E-12,4.50442283394614E-10
ACODA,0,2.8549685741878E-09
ACOLIPAabctex,-9.55152603289046E-15,3.66774565661241E-10
ACONIs,0,0
ACONMT,0,0
ACONTa,-1.03323318235241E-15,3.63508154567191E-09
ACONTb,-1.03323318235241E-15,3.63508154567191E-09
ACOTA,0.000000003,0
ACPPAT120,0,0.00000002
ACPPAT140,0,0.00000002
ACPPAT141,0,0.00000002
ACPPAT160,0,0.00000002
ACPPAT161,0,0.00000002
ACPPAT180,0,0.00000002
ACPPAT181,0,0.00000002
ACPS1,0,0
ACS,0.0769687494,0.0957027744
ACSERtex,4.36478270680434E-10,0
ACSERtpp,0,4.1725335866894E-10
ACt2rpp,-3.12E-11,1.34999999999736E-15
ACt4pp,0,3.120135E-11
ACtex,-3.12E-11,1.35E-15
ADA,0,0.00000001
ADCL,0,5.61737183900445E-14
ADCS,0,5.61737183900445E-14
ADD,0,0.00000001
ADEt2rpp,5.58738572984349E-10,0
ADEtex,5.58738572984349E-10,0
ADK1,-8.22985771937749E-06,0.0955831737
ADK3,-1000,0.1060967032
ADK4,2.09418847514978E-08,0
ADMDC,0,2.69553782344648E-10
ADNCYC,0,0.00000002
ADNK1,0,0.0051928495
ADNUC,0,0.00000002
ADNt2pp,0,1000
ADNt2rpp,-999.9999999997,0
ADNtex,2.73749310404464E-10,0
ADOCBIK,0,0
ADOCBLS,0,0
ADOCBLabcpp,2.70217061237954E-10,1.40007184104415E-14
ADOCBLtonex,2.70217061237954E-10,1.40007184104415E-14
ADPRDP,0,0.000000005
ADPT,0,0.0051928495
ADSK,0,-5.47176291204912E-11
ADSL1r,-1.21127597747879E-13,-4.65099847524169E-10
ADSL2r,0,-8.53325615338842E-11
ADSS,-1.21127597747879E-13,-4.6507336933041E-10
AGDC,0,-1.7825736832927E-10
AGM3PA,0,-8.9128684164635E-11
AGM3PApp,0,-8.13783638024928E-11
AGM3PH,0,-8.9128684164635E-11
AGM3Pt2pp,0,-8.9128684164635E-11
AGM4PA,0,-8.50773803389698E-11
AGM4PApp,0,-7.76758118157044E-11
AGM4PCP,0,-8.4737249253495E-11
AGM4PCPpp,0,-8.1053021025083E-11
AGM4PH,3.94430452610506E-31,-8.47372492534958E-11
AGM4Pt2pp,0,-8.47372492534958E-11
AGMH,-6.31088724176809E-30,-8.95654085267047E-11
AGMHE,0,-7.3019922094077E-12
AGMT,0,1.37925656563127E-09
AGMt2pp,0,1.73901639048077E-09
AGMtex,-2.62089313079176E-13,0
AGPAT120,0,4.44429525349988E-09
AGPAT140,0,4.4442952534999E-09
AGPAT141,0,4.44429525349995E-09
AGPAT160,0,6.66644288024998E-09
AGPAT161,0,0.00000001
AGPAT180,0,4.44827873344442E-09
AGPAT181,0,4.44826394237667E-09
AGPR,-2.51445875432873E-12,0
AGt3,0,0
AHCYSNS,-1.26248975112738E-13,3.70688661864727E-10
AICART,0,1.53976836836378E-09
AIRC2,0,1.53976836836378E-09
AIRC3,-5.89788315070481E-13,1.70530256583869E-13
AKGDH,-1.06E-12,2.66614689978683E-09
AKGt2rpp,-1.72294435486383E-13,0
AKGtex,-1.72294435486383E-13,0
ALAALAD,0,0.00000002
ALAALAabcpp,0,1.9060336611776E-09
ALAALAr,0,0.00000002
ALAALAtex,-1.13061996013187E-13,0
ALAGLUE,-1.07781955331302E-13,0.00000001
ALAR,0,0.00000002
ALATA_D2,0,0.00000002
ALATA_L,-1000,1000
ALATA_L2,0,0.00000002
ALATRS,0,0
ALAabcpp,0,0.00000004
ALAt2pp,0,1000
ALAt2rpp,-1000,0
ALAt4pp,0,1000
ALAtex,-4.13848040681534E-13,0
ALCD19,-3.87982538137965E-13,0
ALCD2x,-4.28118662772926E-13,0
ALDD19xr,-1.50490196611089E-13,0
ALDD2x,0,0.00000002
ALDD2y,0.0769687493,0.0833948256
ALDD3y,5.89225506591476E-10,0
ALDD4,3.70221335999955E-10,0
ALLK,3.54533991254194E-10,0
ALLPI,3.54533991254194E-10,0
ALLTAMH,0,-1.01787414514594E-10
ALLTN,6.21436087966378E-29,-1.01787414514594E-10
ALLTNt2rpp,8.20148212798272E-10,0
ALLTNtex,8.20148212798272E-10,0
ALLULPE,3.54478530832859E-10,0
ALLabcpp,3.54478530832859E-10,0
ALLtex,3.54478530832859E-10,0
ALPATE160pp,0,0
ALPATG160pp,0,0
ALR2,0,-2.47590527284513E-11
ALR4x,0,-2.47590527284513E-11
ALTRH,0,0
AM3PA,0,-8.72461858050196E-11
AM4PA,0,-8.32804500866096E-11
AM4PCP,0,-8.32804500866096E-11
AMALT1,0,-9.25185853854297E-18
AMALT2,0,-9.25185853854297E-18
AMALT3,0,-9.25185853854297E-18
AMALT4,0,-9.25185853854297E-18
AMANAPEr,-2.01948391736578E-28,0
AMANK,-2.01948391736578E-28,0
AMAOTr,1.49611670952018E-13,-4.46870714551456E-12
AMMQLT8,0,-6.4383423862409E-16
AMPMS2,0,-6.11295477853556E-16
AMPN,0,-9.15716045891844E-10
AMPTASECG,0,-2.03492454642632E-10
AMPTASEPG,0,0
AMPtex,0,0
ANHGMtex,-2.66550622728949E-13,0
ANHMK,0,-8.72110519896996E-11
ANPRT,0,-3.63176684576398E-11
ANS,0,-3.63176684576398E-11
AOBUTDs,0,-1.45044354425466E-10
AOXSr2,-1.05274439847936E-13,-9.11851819955615E-12
AP4AH,0,-8.6538420873694E-10
AP4AS,0,-8.6538420873694E-10
AP5AH,0,0
APCS,0,0
APG3PAT120,0,-1.92309648772467E-10
APG3PAT140,0,-1.92412175406505E-10
APG3PAT141,0,-1.92411926862749E-10
APG3PAT160,0,-2.33812242294624E-10
APG3PAT161,0,-2.07851096673602E-10
APG3PAT180,0,-2.07851096673601E-10
APG3PAT181,0,-3.11776645010401E-10
APH120,0,-9.35329935031201E-10
APH140,0,-9.35329935031201E-10
APH141,0,-1.24710658004162E-09
APH160,0,-9.35329935031196E-10
APH161,0,-9.35329935031202E-10
APH180,0,-9.35329935031202E-10
APH181,0,-9.35329935031177E-10
APPLDHr,0,0
APRAUR,0,0
ARAI,0,0
ARBTNR1,0,-8.95211019216803E-11
ARBTNR2,0,-8.95211019246988E-11
ARBTNR3,0,-8.95211019246988E-11
ARBTNabcpp,0,-1.79042203849398E-10
ARBTNexs,0,-1.79042203849398E-10
ARBTNtex,0,-1.79042203849398E-10
ARBTNtonex,0,-1.79042203849398E-10
ARBTNtpp,0,-1.79042203849398E-10
ARBTptspp,0,0
ARBTtex,0,0
ARBabcpp,0,-1.87994314041866E-09
ARBt2rpp,-6.24241908164791E-11,-9.3997157017764E-10
ARBt3ipp,0,-9.3997157017764E-10
ARBtex,-6.21632656451632E-13,0
ARGAGMt7pp,-1.41070891705746E-12,-1.93808571170646E-11
ARGDC,0,-6.61060636385653E-11
ARGDCpp,0,-6.38990831240115E-11
ARGORNt7pp,0,-0.000000001
ARGSL,-2.52435489670724E-29,-3.19504891836163E-10
ARGSS,-2.52435489670724E-29,-3.19530566076766E-10
ARGTRS,0,0
ARGabcpp,0,-6.39009783672331E-10
ARGt3pp,0,-0.000000001
ARGtex,-3.66848747065696E-13,0
ASAD,-0.1243879958,-0.1243879957
ASCBPL,-6.76152617440212E-13,0
ASCBptspp,-6.76152617440212E-13,0
ASCBtex,-6.76152617440212E-13,0
ASNN,0,-0.000000001
ASNNpp,0,-0.000000001
ASNS1,0,-4.7928575810843E-10
ASNS2,0,-0.000000001
ASNTRS,0,0
ASNabcpp,0,-1.91692528517253E-09
ASNt2rpp,-6.89675669789007E-11,0
ASNtex,-1.0610394919831E-12,0
ASO3t8pp,0,0
ASO3tex,0,0
ASP1DC,0,-1.40475605799134E-15
ASPCT,0,-2.99220650353646E-11
ASPK,0.1243879957,0.1243879954
ASPO3,0,-1.57158044967367E-11
ASPO4,0,-1.57158044967367E-11
ASPO5,0,-1.57158044967367E-11
ASPO6,0,-1.61187738428068E-11
ASPT,0,-9.42948269804194E-10
ASPTA,-0.1243879958,-0.1243879957
ASPTRS,0,0
ASPabcpp,0,-1.88856133160682E-09
ASPt2_2pp,0,-1.88856133160672E-09
ASPt2_3pp,0,-9.44280665803361E-10
ASPt2pp,0,1000
ASPt2rpp,-1000,-9.43941813602578E-10
ASPtex,-1.14196591851757E-12,0
ASR,0,0
AST,0,-1.5732547155114E-10
ATHRDHr,-3.59819861027314E-11,0
ATPHs,0,-3.14206786816432E-10
ATPM,-0.0005159992,-0.0005160001
ATPPRT,0,-1.62506498954619E-11
ATPS4rpp,1.88546988594034E-06,1.88462762175101E-06
BALAt2pp,-1.16072977940971E-12,0
BALAtex,-1.16072977940971E-12,0
BETALDHx,0,0
BETALDHy,0,0
BMOCOS,0,-2.84876043820589E-16
BMOGDS1,0,-2.84876043820589E-16
BMOGDS2,0,-2.84876043820589E-16
BPNT,0,-4.56333150944695E-11
BSORx,0,0
BSORy,0,0
BTNt2ipp,0,-4.08063159784273E-12
BTNtex,0,-4.08063159784273E-12
BTS5,-5.7993416738257E-17,-2.80898357049576E-12
BUTCT,0,0
BUTSO3abcpp,0,0
BUTSO3tex,0,0
BUTt2rpp,0,0
BUTtex,0,0
BWCOGDS1,0,0
BWCOGDS2,0,0
BWCOS,0,0
CA2t3pp,0,1000
CA2tex,1.47334201848452E-32,-1.26305180983099E-14
CADVtpp,0,-1.25526286576713E-11
CAT,0,0
CAt6pp,-1000,0
CBIAT,0,0
CBItonex,0,0
CBIuabcpp,0,0
CBL1abcpp,0,-1.03586961465466E-11
CBL1tonex,0,-1.03586961465466E-11
CBLAT,0,-1.03586961465466E-11
CBMD,0,-2.13695911858279E-11
CBMKr,2.06314768647459E-12,-1.2952419145094E-10
CBPS,0,-4.53334670078298E-10
CCGS,0,0
CD2abcpp,0,-9.06669340156595E-10
CD2t3pp,0,-1.81333868031309E-09
CD2tex,0,0
CD2tpp,0,-1.81333868031309E-09
CDAPPA120,0,-9.06669340156603E-10
CDAPPA140,0,-9.06669340156603E-10
CDAPPA141,0,-9.06669340156603E-10
CDAPPA160,0,-9.06669340156603E-10
CDAPPA161,0,-9.06669340156603E-10
CDAPPA180,0,-9.06669340156603E-10
CDAPPA181,0,-9.06669340156603E-10
CDGR,0,0
CDGS,0,0
CDPMEK,0,-1.31142179378332E-11
CFAS160E,0,0
CFAS160G,0,0
CFAS180E,0,0
CFAS180G,0,0
CGLYabcpp,0,-2.01482075590354E-10
CGLYtex,6.26260453122242E-14,0
CHLabcpp,0,0
CHLt2pp,0,0
CHLtex,0,-2.55218944569686E-11
CHOLD,0,0
CHORM,0,-9.09116198136058E-12
CHORS,0,-9.41901342377139E-12
CHRPL,-4.6361891039978E-14,-5.15074251121386E-16
CHTBSptspp,0,0
CHTBStex,-8.0743434438663E-30,0
CINNDO,0,0
CITL,0,-8.98568347626109E-10
CITt3pp,0,-5.99045565084308E-10
CITt7pp,0,-5.99045565084308E-10
CITtex,-1.77756765523038E-14,0
CLIPAabctex,0,-2.72293438674689E-12
CLPNH120pp,0,-2.33411791717754E-10
CLPNH140pp,0,-2.33411825349519E-10
CLPNH141pp,0,-2.33411825349521E-10
CLPNH160pp,0,-2.33411825349521E-10
CLPNH161pp,0,-2.33411825349521E-10
CLPNH180pp,0,-2.33411825349524E-10
CLPNH181pp,0,-2.33411825349521E-10
CLPNS120pp,2.52435489670724E-29,-2.33411825349521E-10
CLPNS140pp,0,-2.33411825349521E-10
CLPNS141pp,0,-2.33411825349521E-10
CLPNS160pp,0,-2.33411825349521E-10
CLPNS161pp,0,-2.33411825349521E-10
CLPNS180pp,0,-2.33411825349524E-10
CLPNS181pp,0,-2.33411825349521E-10
CLt3_2pp,0,-6.52975464167196E-15
CLtex,0,-1.30595092833439E-14
CMPN,0,-3.10024006466847E-10
CMPtex,2.79142095417643E-14,0
CMtex,0,-1.86047076442681E-09
CMtpp,0,-1.86047076442681E-09
CO2tex,0.0809711665,0.0809711662
CO2tpp,0.0809711665,0.0809711655
COBALT2abcpp,0,-9.33015865205478E-10
COBALT2t3pp,0,-1.86603173041095E-09
COBALT2tex,0,-6.1148430822089E-17
COBALT2tpp,0,-1.86686946245784E-09
COLIPAKpp,0,-3.91377245798288E-12
COLIPAPabctex,0,-3.91377245798288E-12
COLIPAabcpp,0,-1.37980004616248E-12
COLIPAabctex,0,-1.37980004616248E-12
CPGNR1,0,-8.92419541043132E-11
CPGNR2,0,-1.3386293115647E-10
CPGNR3,0,-1.3386293115647E-10
CPGNUtex,0,-1.78483908208626E-10
CPGNUtpp,0,-1.78483908208626E-10
CPGNabcpp,0,-1.78483908208626E-10
CPGNexs,0,-1.78483908208626E-10
CPGNtonex,0,-1.78483908208626E-10
CPH4S,0,0
CPMPS,0,-5.81500599010172E-16
CPPPGO,-1.53056365380459E-13,-2.19066761481742E-12
CPPPGO2,0,-1.75281732199968E-12
CRNBTCT,0,0
CRNCAL2,0,0
CRNCAR,0,0
CRNCBCT,0,0
CRNCDH,0,0
CRNDCAL2,0,0
CRNDabcpp,0,-1.89273256095949E-09
CRNDt2rpp,-3.11501935357228E-11,1000
CRNDtex,0,0
CRNabcpp,0,-1.89362421576504E-09
CRNt2rpp,-1000,0
CRNt7pp,0,0
CRNt8pp,0,1000
CRNtex,0,0
CS,-8.4808666393846E-16,-9.39210361644781E-10
CSND,0,-4.6960518003156E-10
CSNt2pp,-4.8649195921835E-13,0
CSNtex,-4.8649195921835E-13,0
CTBTCAL2,0,0
CTBTabcpp,0,-1.87842072012661E-09
CTBTt2rpp,-3.11354853899748E-11,0
CTECOAI6,-1.3249142719138E-12,-4.12839718709183E-11
CTECOAI7,-1.3249142719138E-12,-8.73684055872935E-11
CTECOAI8,4.05615185293338E-16,-8.94486057203235E-11
CTPS2,0,-4.88119282948854E-10
CU1Opp,0,0
CU1abcpp,0,0
CU2abcpp,0,-9.40190987563927E-10
CU2tex,0,-1.81177790864395E-15
CU2tpp,0,-9.40190980625033E-10
CUt3,0,0
CUtex,0,0
CYANST,0,0
CYANSTpp,0,0
CYANtex,0,0
CYNTAH,0,0
CYNTt2pp,0,0
CYNTtex,0,0
CYSDDS,0,0
CYSDS,0,-9.40160102547161E-10
CYSDabcpp,0,0
CYSDtex,0,0
CYSS,0,-9.40190980625033E-10
CYSSADS,0,0
CYSTL,-1.16761858476579E-14,-2.21214138510443E-11
CYSTRS,0,0
CYSabc2pp,0,-4.70080044334686E-10
CYSabcpp,0,-9.40160088669373E-10
CYStex,-6.05542931603314E-13,0
CYStpp,0,-9.40160088669373E-10
CYTBD2pp,0,-9.40160088669383E-10
CYTBDpp,0,-9.40160088669383E-10
CYTBO3_4pp,0.1302519003,0.1302519004
CYTD,0,-3.08965572870103E-10
CYTDH,0,-2.3172698406791E-10
CYTDK2,0,-0.000000001
CYTDt2pp,0,1000
CYTDt2rpp,-1000,0
CYTDtex,-1.80840106705934E-13,0
CYTK1,-5.06367564343184E-12,-0.000000001
CYTK2,-7.59528448164887E-12,-0.000000001
D_DASH_LACt2pp,-5.23812722872362E-13,0
D_DASH_LACtex,-5.23812722872362E-13,0
DAAD,0,-1.19918746860771E-10
DADA,0,-4.68221017513315E-10
DADK,-0.0051928094,-9.37845751734756E-10
DADNt2pp,2.55619092179685E-10,0
DADNtex,2.55619092179685E-10,0
DAGK120,0,-9.37856291546665E-10
DAGK140,0,-9.37856291546665E-10
DAGK141,0,-9.37856291546665E-10
DAGK160,0,-9.37856291546665E-10
DAGK161,0,-9.37856291546665E-10
DAGK180,0,-9.37856291546665E-10
DAGK181,0,-9.37856291546665E-10
DALAt2pp,0,-1.8757125830933E-09
DALAtex,5.86396708968096E-10,0
DAMPtex,7.64126793249891E-26,0
DAPAL,0,0
DAPDC,0,-9.37856291546665E-10
DAPE,0,-1.28473464595433E-11
DAPabcpp,0,0
DAPtex,-1.12562788378015E-13,0
DASYN120,0,-9.37856291546664E-10
DASYN140,0,-9.37856291546665E-10
DASYN141,0,-9.37856291546665E-10
DASYN160,2.98016088478548E-28,-9.37856291546665E-10
DASYN161,0,-9.37856291546665E-10
DASYN180,0,-9.37856291546665E-10
DASYN181,0,-9.37856291546665E-10
DATPHs,0,-9.3785629154665E-10
DB4PS,-1.05820934495774E-17,-2.22943340452822E-15
DBTS,-1.92700892246459E-16,-5.34968623672598E-18
DC6PH,1.5332745660467E-28,0
DCAtex,0,0
DCMPtex,0,0
DCTPD,0,-3.18779226974593E-10
DCYTD,0,-4.78139538991631E-10
DCYTt2pp,0,0
DCYTtex,0,0
DDCAtexi,0,0
DDGALK,0,0
DDGLCNt2rpp,0,0
DDGLCNtex,0,0
DDGLK,0,0
DDPA,0,-1.36573796713721E-11
DDPGALA,0,0
DGK1,-0.0051928094,-0.000000001
DGMPtex,2.39938957650727E-14,0
DGSNt2pp,2.39938957650727E-14,0
DGSNtex,2.39938957650727E-14,0
DHACOAH,4.67378269621886E-15,0
DHAD1,0,-1.60298441187479E-11
DHAD2,0,-1.25724267598022E-11
DHAPT,0,0.0012338807
DHAtex,1.3008695171144E-14,0
DHAtpp,1.3008695171144E-14,0
DHBD,0,-3.37048036539379E-10
DHBS,0,-4.77484718430785E-10
DHBSH,0,-4.77484718430785E-10
DHCIND,0,0
DHCINDO,4.97147586158372E-15,0
DHDPRy,0,-1.30817731076928E-11
DHDPS,0,-1.30817731076928E-11
DHFR,0,-2.04660489382098E-11
DHFS,0,-2.25663450707526E-15
DHMPTR,0,0
DHNAOT4,0,-1.12831725353763E-15
DHNCOAS,0,-1.12831725353763E-15
DHNCOAT,0,-1.12831725353763E-15
DHNPA2r,0,-2.25663450707526E-15
DHNPTE,0,0
DHORD2,0,-3.11903127752862E-11
DHORD5,0,-3.11903127752862E-11
DHORDfum,0,-3.11903127752862E-11
DHORTS,1.23892334963282E-14,-3.85715818650882E-13
DHPPD,1.44904269004999E-13,0
DHPPDA2,0,-1.1719417905023E-15
DHPS2,0,-2.33418891298853E-15
DHPTDCs2,-1.40795005506489E-28,-1.87676554506353E-11
DHPTDNR,0,0
DHPTDNRN,0,0
DHPTPE,0,0
DHQS,0,-1.44779056333473E-11
DHQTi,0,-1.42739914694974E-11
DIMPtex,1.67863146352739E-13,0
DINSt2pp,1.67863146352739E-13,0
DINStex,1.67863146352739E-13,0
DKGLCNR1,0,0
DKGLCNR2x,0,0
DKGLCNR2y,0,0
DMATT,1.43945236563239E-14,-1.33261458821079E-12
DMPPS,0,-1.46587604703187E-11
DMQMT,5.27799200731876E-14,-6.09973080144415E-16
DMSOR1,0,0
DMSOR1pp,0,0
DMSOR2,0,0
DMSOR2pp,0,0
DMSOtex,0,0
DMSOtpp,0,0
DMStex,2.74970812866937E-30,0
DNMPPA,0,-2.43989232057767E-15
DNTPPA,0,-2.43989232057767E-15
DOGULNR,0,0
DOPAtex,0,0
DOXRBCNtex,0,-1.90452834961108E-09
DOXRBCNtpp,0,-1.90452834961108E-09
DPCOAK,0,9.28203367562154E-15
DPR,0,9.28203367562154E-15
DRPA,0,0.0051928495
DSBAO1,0,0
DSBAO2,0,0
DSBCGT,0,-5.71526085913641E-12
DSBDR,0,0
DSBGGT,0,-2.79059545221933E-29
DSERDHr,-0.1243879853,0
DSERt2pp,8.21271245166275E-10,0
DSERtex,8.21271245166275E-10,0
DTARTD,8.05477567374616E-10,0
DTMPK,0,-0.000000001
DTMPtex,3.77340842373694E-10,0
DUMPtex,3.64215943508522E-10,0
DURADx,0,0
DURIK1,0,-0.000000001
DURIPP,4.45583335143404E-10,-0.000000001
DURIt2pp,2.379820085425E-10,0
DURItex,2.379820085425E-10,0
DUTPDP,0,-0.000000001
DXPRIi,0,-1.45097579636724E-11
DXPS,0,-1.3642412331687E-11
DXYLK,0,0
E4PD,0,-1.0501692444946E-11
EAR100x,0,-4.55495093997655E-11
EAR100y,0,-4.34552790825349E-11
EAR120x,0,-8.04384953229901E-11
EAR120y,0,-7.41295937290301E-11
EAR121x,0,-6.8738350548737E-11
EAR121y,0,-6.40781233928905E-11
EAR140x,0,-8.59229381859212E-11
EAR140y,0,-7.87626933370943E-11
EAR141x,0,-1.45408049237713E-10
EAR141y,0,-1.26020309339352E-10
EAR160x,0,-2.49834273176781E-10
EAR160y,0,-1.97237584086932E-10
EAR161x,0,-7.99036674591757E-11
EAR161y,0,-7.36367131486523E-11
EAR180x,0,-8.16407037082895E-11
EAR180y,0,-7.51094474116263E-11
EAR181x,0,-8.25378542984871E-11
EAR181y,0,-7.58681286986095E-11
EAR40x,0,-2.67928629250358E-11
EAR40y,0,-2.60796692401476E-11
EAR60x,0,-2.67928629250358E-11
EAR60y,0,-2.60796692401476E-11
EAR80x,0,-2.67928629250358E-11
EAR80y,0,-2.60796692401476E-11
ECA4COLIPAabctex,0,-1.0013055374365E-12
ECA4OALpp,0,-1.0013055374365E-12
ECAP1pp,0,-1.0013055374365E-12
ECAP2pp,0,-1.0013055374365E-12
ECAP3pp,0,-1.0013055374365E-12
ECAtpp,0,-4.00522214974599E-12
ECOAH1,4.47940300087042E-10,-1.44734720479907E-11
ECOAH2,4.47940300087042E-10,-1.22467840406075E-11
ECOAH3,4.47940300087042E-10,-5.44689468377697E-12
ECOAH4,0.000000001,-5.44689468377697E-12
ECOAH5,1.78223054881623E-09,-5.44689468377696E-12
ECOAH6,1.86144080024545E-09,-4.75248335904172E-12
ECOAH7,1.86144080024545E-09,-2.40314252872298E-12
ECOAH8,5.58432249953545E-09,4.43281467018607E-12
EDA,-2.46950432506885E-23,0.0051922554
EDD,-2.46950432506885E-23,0.0051922554
EDTXS1,0,7.07744591533148E-11
EDTXS2,0,7.07744591533148E-11
EDTXS3,0,6.05872263963984E-11
EDTXS4,0,6.05872263963984E-11
EGMEACPR,3.84747366662257E-14,2.04066947779671E-14
ENLIPAabctex,0,5.15215363500879E-11
ENO,0.4548076614,0.4560415022
ENTCS,0,3.33818392865769E-09
ENTERES,0,3.33818392865769E-09
ENTERES2,0,3.33818392865769E-09
EPMEACPR,3.95441893785476E-14,1.6434136264161E-10
ETHAAL,0,0.000000004
ETHAt2pp,0,3.08140054953025E-09
ETHAtex,6.63590838399527E-10,0
ETHSO3abcpp,7.3344250190776E-10,0
ETHSO3tex,7.3344250190776E-10,0
ETOHtex,7.2079694153004E-10,0
ETOHtrpp,7.2079694153004E-10,0
F6PA,1.04515556521856E-08,0.0012338807
F6PP,0,0.00000002
F6Pt6_2pp,3.45505971973077E-10,0
F6Ptex,3.45505971973077E-10,0
FA100ACPHi,0,0.00000002
FA120ACPHi,0,0.00000002
FA140ACPHi,0,0.00000002
FA141ACPHi,0,0.00000002
FA160ACPHi,0,0.00000002
FA161ACPHi,0,2.66508777974538E-08
FA80ACPHi,0,0.00000002
FACOAE100,0,1.33254388987274E-08
FACOAE120,0,7.26842121748732E-09
FACOAE140,0,7.26842121748726E-09
FACOAE141,0,8.41606667288025E-09
FACOAE160,0,8.88362593248443E-09
FACOAE161,0,8.88362593248467E-09
FACOAE180,0,9.40619216380752E-09
FACOAE181,0,7.26842121748754E-09
FACOAE60,0,0.00000002
FACOAE80,0,2.49851979351131E-09
FACOAL100t2pp,1.52577454776432E-10,0
FACOAL120t2pp,0,7.26842121748741E-09
FACOAL140t2pp,0,0.000000008
FACOAL141t2pp,0,0.000000008
FACOAL160t2pp,0,0.000000008
FACOAL161t2pp,0,0.000000008
FACOAL180t2pp,8.27527278147049E-11,7.28393049119003E-09
FACOAL181t2pp,3.05484359262316E-12,7.28401358760671E-09
FACOAL60t2pp,0,0.00000002
FACOAL80t2pp,0,0
FADRx,0,2.86157676655984E-09
FADRx2,0,2.50387967073986E-09
FALDH2,0,0
FALDtex,0,0
FALDtpp,0,0
FALGTHLs,0,0
FBA,0.2214889033,0.2260415022
FBA3,0,0.0033187647
FBP,-1.1E-24,0.00000002
FCI,0,0
FCLK,0,0
FCLPA,0,0
FCLT,1.38178775581892E-14,5.07114870023262E-11
FDH4pp,0,0.00000002
FDH5pp,0,0.00000002
FDMO,5.47857993820737E-14,0
FDMO2,0,0
FDMO3,0,0
FDMO4,-4.41937309108583E-26,0
FDMO6,0,0
FE2abcpp,0,0.00000002
FE2t2pp,0,0.00000002
FE2t3pp,0,4.0062074731838E-08
FE2tex,-1.0913936421247E-11,1000.0000000002
FE2tpp,0,4.00620730388274E-08
FE3DCITabcpp,-4.28467981362876E-13,0
FE3DCITtonex,-4.28467981362876E-13,0
FE3DHBZR,0,3.43389197475666E-08
FE3DHBZSabcpp,0,3.43389197475666E-08
FE3DHBZStonex,0,3.43389197475666E-08
FE3HOXR1,0,5.72315329126112E-09
FE3HOXR2,0,1.90771776375369E-09
FE3HOXR3,0,1.90771776288367E-09
FE3HOXUtex,-3.61442212276754E-14,3.81543552576734E-09
FE3HOXUtpp,-3.61442212276754E-14,3.81543552576734E-09
FE3HOXabcpp,-3.61442212283207E-14,3.81543552576734E-09
FE3HOXexs,0,3.81543552576734E-09
FE3HOXtonex,-3.61442212283207E-14,3.81543552576734E-09
FE3Ri,-2.14233990681438E-13,2.86157664432555E-09
FE3abcpp,0,5.34160973607427E-09
FE3tex,-1000,5.33339061803417E-09
FECRMR1,0,1.9047874431844E-09
FECRMR2,0,1.9047874431844E-09
FECRMR3,0,1.9047874431844E-09
FECRMUtex,0,3.80957488636879E-09
FECRMUtpp,0,3.80957488636879E-09
FECRMabcpp,0,3.80957488636879E-09
FECRMexs,0,3.80957488636879E-09
FECRMtonex,0,3.80957488636879E-09
FEENTERR1,0,1.9047874431844E-09
FEENTERR2,0,1.9047874431844E-09
FEENTERR3,0,3.33337802557269E-09
FEENTERabcpp,0,3.80957488636879E-09
FEENTERexs,2.94690316376126E-28,3.80957488636879E-09
FEENTERtex,-1.48461559455553E-17,3.80957488636879E-09
FEENTERtonex,0,3.80957488636879E-09
FEENTERtpp,-1.48461559455553E-17,3.80957488636879E-09
FEOXAMR1,0,1.9047874431844E-09
FEOXAMR2,0,1.9047874431844E-09
FEOXAMR3,0,1.9047874431844E-09
FEOXAMUtex,0,3.80957488636879E-09
FEOXAMUtpp,0,3.80957488636879E-09
FEOXAMabcpp,0,3.80957488636879E-09
FEOXAMexs,0,3.80957488636879E-09
FEOXAMtonex,0,3.80957488636879E-09
FEROpp,0,250.0000000013
FESD1s,4.79627430374375E-28,2.85714918391022E-09
FESD2s,0,0
